"day_number","day_length","difference"
1,13.9983333333333,0
2,14.0383333333333,0.0400000000000009
3,14.0777777777778,0.0394444444444435
4,14.1166666666667,0.0388888888888896
5,14.1555555555556,0.0388888888888879
6,14.1938888888889,0.038333333333334
7,14.2316666666667,0.0377777777777784
8,14.2691666666667,0.0374999999999996
9,14.3058333333333,0.0366666666666671
10,14.3422222222222,0.0363888888888884
11,14.3780555555556,0.0358333333333327
12,14.4136111111111,0.0355555555555558
13,14.4480555555556,0.0344444444444445
14,14.4825,0.0344444444444445
15,14.5161111111111,0.0336111111111119
16,14.5491666666667,0.0330555555555545
17,14.5816666666667,0.0325000000000006
18,14.6136111111111,0.031944444444445
19,14.6447222222222,0.0311111111111106
20,14.675,0.0302777777777781
21,14.7047222222222,0.0297222222222207
22,14.7338888888889,0.0291666666666668
23,14.7622222222222,0.0283333333333342
24,14.7897222222222,0.0274999999999999
25,14.8169444444444,0.0272222222222229
26,14.8427777777778,0.0258333333333329
27,14.8680555555556,0.0252777777777773
28,14.8925,0.0244444444444447
29,14.9161111111111,0.0236111111111104
30,14.9388888888889,0.0227777777777778
31,14.9608333333333,0.0219444444444452
32,14.9816666666667,0.0208333333333339
33,15.0019444444444,0.0202777777777765
34,15.0213888888889,0.0194444444444457
35,15.0394444444444,0.0180555555555557
36,15.0569444444444,0.0174999999999983
37,15.0730555555556,0.0161111111111119
38,15.0886111111111,0.0155555555555562
39,15.1027777777778,0.0141666666666662
40,15.1166666666667,0.0138888888888893
41,15.1288888888889,0.0122222222222224
42,15.1402777777778,0.011388888888888
43,15.1508333333333,0.0105555555555554
44,15.16,0.00916666666666721
45,15.1683333333333,0.00833333333333286
46,15.1758333333333,0.00750000000000028
47,15.1819444444444,0.00611111111111029
48,15.1872222222222,0.00527777777777949
49,15.1911111111111,0.00388888888888772
50,15.1941666666667,0.00305555555555515
51,15.1963888888889,0.00222222222222257
52,15.1972222222222,0.000833333333334352
53,15.1972222222222,0
54,15.1955555555556,0.00166666666666693
55,15.1933333333333,0.00222222222222257
56,15.19,0.00333333333333385
57,15.1855555555556,0.00444444444444336
58,15.18,0.00555555555555642
59,15.1736111111111,0.006388888888889
60,15.1661111111111,0.00750000000000028
61,15.1572222222222,0.0088888888888885
62,15.1477777777778,0.00944444444444414
63,15.1372222222222,0.0105555555555554
64,15.1252777777778,0.0119444444444454
65,15.1127777777778,0.0124999999999993
66,15.0988888888889,0.0138888888888893
67,15.0844444444444,0.0144444444444431
